"","ID","Name","Gear","Date","Month","monthNum","DOW","StartTime","Distance","Time","Speed.mph","Cad","Elevation.Gain","Avg.HR","Max.HR","Calories","RunType","weekNumber","Avg.Pace"
"9",660217642,"Long Run","Brooks Ghost Red/Black",2016-07-31,"Jul",7,"Sun","8:37",17.02,2017-03-29 02:05:52,3.6281,162.6,695,151,165,1625,"Long Run",2,2017-03-29 00:07:24
"11",661788546,"Tempo Run","Brooks Ghost Red/Black",2016-08-02,"Aug",8,"Tue","5:26",10,2017-03-29 01:13:51,3.6337,159.4,388,150,172,1018,"Workout",3,2017-03-29 00:07:23
"14",662952334,"ML Run","Brooks Ghost Red/Black",2016-08-03,"Aug",8,"Wed","5:03",14,2017-03-29 01:49:18,3.4361,166.4,548,146,156,1359,"Run",3,2017-03-29 00:07:48
"10",664039146,"Recovery Run","Hoka One One Clifton Reds",2016-08-04,"Aug",8,"Thu","5:11",5,2017-03-29 00:41:04,3.2694,172.8,224,133,147,545,"Recovery Run",3,2017-03-29 00:08:12
"3",665228569,"ML Run","Brooks Ghost Red/Black",2016-08-05,"Aug",8,"Fri","5:30",12,2017-03-29 01:30:35,3.5547,174.2,459,148,158,1260,"Run",3,2017-03-29 00:07:33
"93",668200606,"GA Run","Hoka One One Clifton Reds",2016-08-06,"Aug",8,"Sat","7:18",8,2017-03-29 01:02:54,3.4131,174,NA,149,158,898,"Run",3,2017-03-29 00:07:52
"114",668200836,"Recovery Run","Hoka One One Clifton Reds",2016-08-07,"Aug",8,"Sun","14:50",4.01,2017-03-29 00:30:04,3.5725,176,4,149,160,460,"Recovery Run",3,2017-03-29 00:07:30
"113",668874860,"ML Run","Brooks Ghost Red/Black",2016-08-08,"Aug",8,"Mon","7:31",15,2017-03-29 01:57:31,3.425,167.8,13,142,158,1545,"Run",4,2017-03-29 00:07:50
"115",671269889,"Recovery Run","Hoka One One Clifton Reds",2016-08-10,"Aug",8,"Wed","9:41",3,2017-03-29 00:23:31,3.4245,171.2,NA,134,151,299,"Recovery Run",4,2017-03-29 00:07:50
"118",672332298,"GA Run","Hoka One One Clifton Reds",2016-08-11,"Aug",8,"Thu","9:05",10,2017-03-29 01:18:54,3.4015,173.4,7,148,166,1085,"Run",4,2017-03-29 00:07:53
"117",673389413,"GA Run","Brooks Ghost Red/Black",2016-08-12,"Aug",8,"Fri","8:47",10.01,2017-03-29 01:19:25,3.3811,174,3,149,170,1047,"Run",4,2017-03-29 00:07:56
"96",677460812,"Recovery Run","Brooks Ghost Red/Black",2016-08-15,"Aug",8,"Mon","18:10",4,2017-03-29 00:31:14,3.3574,172.2,NA,128,149,380,"Recovery Run",5,2017-03-29 00:07:48
"25",677906223,"Tempo Run","Hoka One One Clifton Reds",2016-08-16,"Aug",8,"Tue","6:00",10.01,2017-03-29 01:11:55,3.7309,156.2,366,143,166,1024,"Workout",5,2017-03-29 00:07:11
"28",679129912,"ML Run","Hoka One One Clifton Reds",2016-08-17,"Aug",8,"Wed","5:19",14.01,2017-03-29 01:47:20,3.5009,173.2,551,145,157,1419,"Run",5,2017-03-29 00:07:40
"23",680277532,"Recovery Run","Brooks Ghost Red/Black",2016-08-18,"Aug",8,"Thu","5:34",5.01,2017-03-29 00:40:03,3.3544,175.8,200,135,148,525,"Recovery Run",5,2017-03-29 00:08:00
"17",681450846,"ML Run","Hoka One One Clifton Reds",2016-08-19,"Aug",8,"Fri","5:24",14.01,2017-03-29 01:45:43,3.5542,179,583,142,157,1368,"Run",5,2017-03-29 00:07:33
"20",682637851,"Recovery Run","Brooks Ghost Red/Black",2016-08-20,"Aug",8,"Sat","9:21",6,2017-03-29 00:46:45,3.446,174.4,266,138,153,661,"Recovery Run",5,2017-03-29 00:07:47
"21",683964885,"MP Long Run","Hoka One One Clifton Reds",2016-08-21,"Aug",8,"Sun","8:34",20,2017-03-29 02:29:54,3.5797,167.6,724,148,163,2104,"Long Run",5,2017-03-29 00:07:30
"97",684711577,"Recovery Run","Brooks Ghost Red/Black",2016-08-22,"Aug",8,"Mon","5:38",3,2017-03-29 00:24:32,2.9932,168.8,0,100,136,191,"Recovery Run",6,2017-03-29 00:08:10
"26",685886315,"GA Run","Brooks Ghost Red/Black",2016-08-23,"Aug",8,"Tue","5:25",10.01,2017-03-29 01:14:18,3.6127,173.2,377,139,157,1086,"Run",6,2017-03-29 00:07:26
"29",687187897,"ML Run","Brooks Ghost Red/Black",2016-08-24,"Aug",8,"Wed","5:41",13,2017-03-29 01:39:32,3.5041,173.4,498,141,156,1450,"Run",6,2017-03-29 00:07:39
"24",688330941,"Recovery Run","Brooks Ghost Red/Black",2016-08-25,"Aug",8,"Thu","5:34",5.01,2017-03-29 00:41:31,3.2373,173.2,168,130,141,506,"Recovery Run",6,2017-03-29 00:08:17
"18",689501603,"ML Run","Hoka One One Clifton Reds",2016-08-26,"Aug",8,"Fri","5:47",12,2017-03-29 01:32:36,3.4773,171.8,467,122,158,1389,"Run",6,2017-03-29 00:07:43
"22",692241161,"Long Run","Hoka One One Clifton Reds",2016-08-28,"Aug",8,"Sun","10:11",13,2017-03-29 01:44:47,3.3284,174.4,517,141,154,1322,"Long Run",6,2017-03-29 00:08:04
"19",692987291,"Recovery Run","Brooks Ghost Red/Black",2016-08-29,"Aug",8,"Mon","5:30",4,2017-03-29 00:33:33,3.2019,171.8,151,126,136,416,"Recovery Run",7,2017-03-29 00:08:23
"27",694152241,"Tempo Run","Hoka One One Clifton Reds",2016-08-30,"Aug",8,"Tue","5:39",11,2017-03-29 01:18:07,3.7786,154.8,452,149,166,1090,"Workout",7,2017-03-29 00:07:06
"30",695419431,"ML Run","Brooks Ghost Red/Black",2016-08-31,"Aug",8,"Wed","5:22",15,2017-03-29 01:56:36,3.4519,174.6,497,145,157,1587,"Run",7,2017-03-29 00:07:46
"32",698319096,"ML Run","Brooks Ghost Red/Black",2016-09-02,"Sep",9,"Fri","17:07",13.01,2017-03-29 01:39:27,3.5101,175.6,499,147,159,1344,"Run",7,2017-03-29 00:07:39
"36",699002887,"GA Run","Brooks Ghost Red/Black",2016-09-03,"Sep",9,"Sat","8:49",10,2017-03-29 01:17:14,3.4736,180.8,373,144,159,1055,"Run",7,2017-03-29 00:07:43
"39",700400489,"Long Run","Hoka One One Clifton Reds",2016-09-04,"Sep",9,"Sun","8:26",20,2017-03-29 02:29:22,3.5918,171,757,144,160,1899,"Long Run",7,2017-03-29 00:07:28
