,ID,Name,Gear,Date,Month,monthNum,DOW,StartTime,Distance,Time,Speed.mph,Cad,Elevation.Gain,Avg.HR,Max.HR,Calories,RunType,weekNumber,Avg.Pace,morningNightBucket
21,683964885,MP Long Run,Hoka One One Clifton Reds,8/21/2016,Aug,8,Sun,4/7/2017 8:34,20,4/7/2017 2:29,3.5797,167.6,724,148,163,2104,Long Run,5,4/7/2017 0:07,Morning
97,684711577,Recovery Run,Brooks Ghost Red/Black,8/22/2016,Aug,8,Mon,4/7/2017 5:38,3,4/7/2017 0:24,2.9932,168.8,0,100,136,191,Recovery Run,6,4/7/2017 0:08,Sunrise
26,685886315,GA Run,Brooks Ghost Red/Black,8/23/2016,Aug,8,Tue,4/7/2017 5:25,10.01,4/7/2017 1:14,3.6127,173.2,377,139,157,1086,Run,6,4/7/2017 0:07,Sunrise
29,687187897,ML Run,Brooks Ghost Red/Black,8/24/2016,Aug,8,Wed,4/7/2017 5:41,13,4/7/2017 1:39,3.5041,173.4,498,141,156,1450,Run,6,4/7/2017 0:07,Sunrise
24,688330941,Recovery Run,Brooks Ghost Red/Black,8/25/2016,Aug,8,Thu,4/7/2017 5:34,5.01,4/7/2017 0:41,3.2373,173.2,168,130,141,506,Recovery Run,6,4/7/2017 0:08,Sunrise
18,689501603,ML Run,Hoka One One Clifton Reds,8/26/2016,Aug,8,Fri,4/7/2017 5:47,12,4/7/2017 1:32,3.4773,171.8,467,122,158,1389,Run,6,4/7/2017 0:07,Sunrise
22,692241161,Long Run,Hoka One One Clifton Reds,8/28/2016,Aug,8,Sun,4/7/2017 10:11,13,4/7/2017 1:44,3.3284,174.4,517,141,154,1322,Long Run,6,4/7/2017 0:08,Morning
19,692987291,Recovery Run,Brooks Ghost Red/Black,8/29/2016,Aug,8,Mon,4/7/2017 5:30,4,4/7/2017 0:33,3.2019,171.8,151,126,136,416,Recovery Run,7,4/7/2017 0:08,Sunrise
27,694152241,Tempo Run,Hoka One One Clifton Reds,8/30/2016,Aug,8,Tue,4/7/2017 5:39,11,4/7/2017 1:18,3.7786,154.8,452,149,166,1090,Workout,7,4/7/2017 0:07,Sunrise
30,695419431,ML Run,Brooks Ghost Red/Black,8/31/2016,Aug,8,Wed,4/7/2017 5:22,15,4/7/2017 1:56,3.4519,174.6,497,145,157,1587,Run,7,4/7/2017 0:07,Sunrise
32,698319096,ML Run,Brooks Ghost Red/Black,9/2/2016,Sep,9,Fri,4/7/2017 17:07,13.01,4/7/2017 1:39,3.5101,175.6,499,147,159,1344,Run,7,4/7/2017 0:07,Evening
36,699002887,GA Run,Brooks Ghost Red/Black,9/3/2016,Sep,9,Sat,4/7/2017 8:49,10,4/7/2017 1:17,3.4736,180.8,373,144,159,1055,Run,7,4/7/2017 0:07,Morning
39,700400489,Long Run,Hoka One One Clifton Reds,9/4/2016,Sep,9,Sun,4/7/2017 8:26,20,4/7/2017 2:29,3.5918,171,757,144,160,1899,Long Run,7,4/7/2017 0:07,Morning
44,702364020,ML Run,Brooks Ghost Red/Black,9/6/2016,Sep,9,Tue,4/7/2017 5:17,15.01,4/7/2017 1:53,3.5478,181.4,524,143,157,1499,Run,8,4/7/2017 0:07,Sunrise
47,703508196,GA Run,Brooks Ghost Red/Black,9/7/2016,Sep,9,Wed,4/7/2017 5:28,11,4/7/2017 1:24,3.5027,174.8,444,145,163,1149,Run,8,4/7/2017 0:07,Sunrise
41,704684351,Recovery Run,"ASICS dunno Black, Yellow, Red",9/8/2016,Sep,9,Thu,4/7/2017 5:22,6,4/7/2017 0:51,3.151,173.2,251,134,145,656,Recovery Run,8,4/7/2017 0:08,Sunrise
33,705852012,Tempo Run,Hoka One One Clifton Reds,9/9/2016,Sep,9,Fri,4/7/2017 5:32,12.01,4/7/2017 1:28,3.6563,145.2,488,150,168,1263,Workout,8,4/7/2017 0:07,Sunrise
34,707056625,GA Run,Brooks Ghost Red/Black,9/10/2016,Sep,9,Sat,4/7/2017 8:12,10.01,4/7/2017 1:21,3.2946,174.8,417,147,157,1085,Run,8,4/7/2017 0:08,Morning
37,708614645,Long Run,Hoka One One Clifton Reds,9/11/2016,Sep,9,Sun,4/7/2017 8:23,22,4/7/2017 2:46,3.5548,178.2,820,144,160,1944,Long Run,8,4/7/2017 0:07,Morning
99,710275319,Recovery Run,"ASICS dunno Black, Yellow, Red",9/12/2016,Sep,9,Mon,4/7/2017 6:37,3,4/7/2017 0:25,3.1861,168.4,NA,118,124,294,Recovery Run,9,4/7/2017 0:08,Sunrise
42,710645370,ML Run,Brooks Ghost Red/Black,9/13/2016,Sep,9,Tue,4/7/2017 5:11,15.01,4/7/2017 1:53,3.5398,166.8,522,143,156,1494,Run,9,4/7/2017 0:07,Sunrise
45,711828098,GA Run,Brooks Ghost Red/Black,9/14/2016,Sep,9,Wed,4/7/2017 5:28,11,4/7/2017 1:25,3.4423,181,425,139,178,1082,Run,9,4/7/2017 0:07,Sunrise
40,712947443,Recovery Run,Brooks Ghost Red/Black,9/15/2016,Sep,9,Thu,4/7/2017 5:15,6.01,4/7/2017 0:50,3.206,175.6,232,135,146,647,Recovery Run,9,4/7/2017 0:08,Sunrise
31,714102044,ML Run,Brooks Ghost Red/Black,9/16/2016,Sep,9,Fri,4/7/2017 5:14,14,4/7/2017 1:46,3.5415,172.2,502,148,160,1403,Run,9,4/7/2017 0:07,Sunrise
35,715326699,GA Run,Brooks Ghost Red/Black,9/17/2016,Sep,9,Sat,4/7/2017 8:49,10,4/7/2017 1:17,3.4763,176.4,396,147,158,1021,Run,9,4/7/2017 0:07,Morning
38,716838907,Long Run,Hoka One One Clifton Reds,9/18/2016,Sep,9,Sun,4/7/2017 9:12,20.01,4/7/2017 2:28,3.6199,164,763,145,162,1913,Long Run,9,4/7/2017 0:07,Morning
100,718149452,Recovery Run,"ASICS dunno Black, Yellow, Red",9/19/2016,Sep,9,Mon,4/7/2017 6:33,4.01,4/7/2017 0:33,2.9405,165.4,NA,119,128,359,Recovery Run,10,4/7/2017 0:08,Sunrise
43,718623269,GA Run,Brooks Ghost Red/Black,9/20/2016,Sep,9,Tue,4/7/2017 5:32,11.01,4/7/2017 1:25,3.4581,179.2,439,142,154,1133,Run,10,4/7/2017 0:07,Sunrise
46,719785645,VO2 Run,Brooks Ghost Red/Black,9/21/2016,Sep,9,Wed,4/7/2017 5:31,11,4/7/2017 1:23,3.5256,169.2,381,143,163,1156,Workout,10,4/7/2017 0:07,Sunrise
56,720873025,Recovery Run,"ASICS dunno Black, Yellow, Red",9/22/2016,Sep,9,Thu,4/7/2017 5:25,6.01,4/7/2017 0:50,3.218,174.8,238,133,145,630,Recovery Run,10,4/7/2017 0:08,Sunrise
49,721980758,ML Run,Brooks Ghost Red/Black,9/23/2016,Sep,9,Fri,4/7/2017 5:15,13.01,4/7/2017 1:37,3.5861,169.4,531,146,160,1278,Run,10,4/7/2017 0:07,Sunrise
55,724673407,Long Run,Hoka One One Clifton Reds,9/25/2016,Sep,9,Sun,4/7/2017 8:59,18,4/7/2017 2:10,3.6992,171,660,146,160,1683,Long Run,10,4/7/2017 0:07,Morning
103,725545972,Recovery Run,"ASICS dunno Black, Yellow, Red",9/26/2016,Sep,9,Mon,4/7/2017 6:33,4,4/7/2017 0:32,3.3364,168.2,NA,113,122,347,Recovery Run,11,4/7/2017 0:08,Sunrise
59,726493622,GA Run,Brooks Ghost Red/Black,9/27/2016,Sep,9,Tue,4/7/2017 5:27,11.01,4/7/2017 1:25,3.4628,177.8,468,139,154,1050,Run,11,4/7/2017 0:07,Sunrise
62,727632740,LT Intervals Run,Brooks Ghost Red/Black,9/28/2016,Sep,9,Wed,4/7/2017 5:28,12.01,4/7/2017 1:24,3.8194,147.8,476,148,162,1104,Workout,11,4/7/2017 0:07,Sunrise
105,728649118,Recovery Run,Brooks Ghost Red/Black,9/29/2016,Sep,9,Thu,4/7/2017 5:42,5,4/7/2017 0:40,3.0832,166.2,0,121,138,449,Recovery Run,11,4/7/2017 0:08,Sunrise
50,729670954,ML Run,Brooks Ghost Red/Black,9/30/2016,Sep,9,Fri,4/7/2017 5:04,15.01,4/7/2017 1:51,3.6245,170,550,142,157,1486,Run,11,4/7/2017 0:07,Sunrise
52,731113706,GA Run,Hoka One One Clifton Reds,10/1/2016,Oct,10,Sat,4/7/2017 12:51,10,4/7/2017 1:18,3.4269,177,392,129,146,915,Run,11,4/7/2017 0:07,Afternoon
53,732206487,Long Run,Brooks Ghost Red/Black,10/2/2016,Oct,10,Sun,4/7/2017 8:38,24,4/7/2017 2:55,3.6667,175,789,143,158,2129,Long Run,11,4/7/2017 0:07,Morning
102,732890621,Recovery Run,"ASICS dunno Black, Yellow, Red",10/3/2016,Oct,10,Mon,4/7/2017 5:58,2,4/7/2017 0:16,3.3255,167.6,0,115,122,180,Recovery Run,12,4/7/2017 0:08,Sunrise
58,733914687,VO2 Run,Hoka One One Clifton Reds,10/4/2016,Oct,10,Tue,4/7/2017 5:39,10,4/7/2017 1:14,3.58,171,297,146,182,985,Workout,12,4/7/2017 0:07,Sunrise
61,735012881,ML Run,Brooks Ghost Red/Black,10/5/2016,Oct,10,Wed,4/7/2017 5:02,15.01,4/7/2017 1:55,3.4762,174.2,564,136,153,1380,Run,12,4/7/2017 0:07,Sunrise
104,736035543,Recovery Run,Brooks Ghost Red/Black,10/6/2016,Oct,10,Thu,4/7/2017 5:42,5.01,4/7/2017 0:41,3.1784,169.4,0,123,137,468,Recovery Run,12,4/7/2017 0:08,Sunrise
48,737515869,Recovery Run,Brooks Ghost Red/Black,10/7/2016,Oct,10,Fri,4/7/2017 16:53,6,4/7/2017 0:49,3.2463,173.6,229,137,150,652,Recovery Run,12,4/7/2017 0:08,Evening
