Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Weight,Current,Surface Conditions,Decompression,Water Type
running,10/28/2016 16:59,FALSE,Chalfont Running,10.01,925,1:10:32,143,168,0,154,209,7:03,1:39,374,324,1.48,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/27/2016 17:08,FALSE,Running,5,418,40:41:00,116,142,0,174,195,8:08,6:41,--,--,1.14,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/26/2016 5:15,FALSE,Chalfont Running,15.01,"1,499",1:51:29,140,154,0,168,202,7:26,5:55,521,501,1.29,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/25/2016 5:36,FALSE,Chalfont Running,12,"1,228",1:26:25,137,163,0,167,214,7:12,4:47,337,321,1.34,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/24/2016 6:12,FALSE,Chalfont Running,6.01,658,45:01:00,139,150,0,174,202,7:30,6:28,251,222,1.24,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/23/2016 13:08,FALSE,Running,1,95,07:53.2,119,128,0,180,187,7:52,6:44,--,--,1.14,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/23/2016 11:43,FALSE,Chalfont Running,15.01,510,1:04:28,114,146,0,40,155,4:18,2:14,657,600,9.33,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/22/2016 8:55,FALSE,Chalfont Running,20,"1,770",2:20:43,143,157,0,134,205,7:02,5:00,705,651,1.7,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/21/2016 16:59,FALSE,Chalfont Running,7,739,56:00:00,135,146,0,181,200,8:00,6:01,357,343,1.11,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/20/2016 16:53,FALSE,Chalfont Running,6.01,626,46:51:00,135,151,0,178,195,7:48,5:59,238,188,1.16,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/19/2016 5:40,FALSE,Chalfont Running,11.01,"1,155",1:20:58,145,167,0,173,223,7:21,5:06,299,302,1.27,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/18/2016 5:31,FALSE,Chalfont Running,10,"1,027",1:15:52,141,152,0,185,200,7:35,4:52,410,380,1.15,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/17/2016 17:49,FALSE,Running,1,88,07:42.9,117,127,0,172,189,7:41,6:42,--,--,1.21,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/16/2016 7:57,FALSE,Pittsburgh Running,21,"1,908",2:29:55,142,158,0,177,233,7:08,3:46,296,290,1.27,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/15/2016 8:01,FALSE,Pittsburgh Running,9.01,899,1:09:27,137,151,0,178,211,7:43,3:40,223,221,1.17,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/14/2016 6:37,FALSE,Chalfont Running,12.01,"1,210",1:24:29,149,164,0,149,211,7:02,5:01,500,479,1.54,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/13/2016 16:42,FALSE,Chalfont Running,5.01,530,39:55:00,131,147,0,178,204,7:58,5:05,210,184,1.14,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/12/2016 5:07,FALSE,Chalfont Running,15,"1,476",1:48:31,144,157,0,165,204,7:14,5:27,491,478,1.35,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/11/2016 5:15,FALSE,Chalfont Running,11,"1,092",1:21:55,142,153,0,183,211,7:27,4:51,392,364,1.18,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/10/2016 16:59,FALSE,Chalfont Running,5.01,524,38:49:00,135,148,0,180,216,7:45,5:43,218,195,1.15,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/9/2016 11:28,FALSE,Chalfont Running,8.01,824,58:10:00,142,156,0,185,202,7:16,5:47,333,275,1.2,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/8/2016 10:33,FALSE,Doylestown Running,9.33,939,1:00:53,157,169,0,136,241,6:32,5:06,257,255,1.81,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/7/2016 16:53,FALSE,Chalfont Running,6,652,49:37:00,137,150,0,174,190,8:16,6:34,229,184,1.12,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/6/2016 5:42,FALSE,Running,5.01,468,41:14:00,123,137,0,171,187,8:14,7:27,--,--,1.14,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,10/5/2016 5:02,FALSE,Chalfont Running,15.01,"1,380",1:55:48,136,153,0,173,193,7:43,6:22,564,536,1.21,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
