Activity Score,When,Type,Gear,Name,Dist mi,Elv ft,Elapsed Time,Moving Time,Speed mph,Max Speed mph,Pace /mi,Max Pace /mi,Pace /100yds,Max Pace /100yds,Pwr W,Weighted Avg Pwr W,Max Pwr W,Power Meter,Cad,Heart,Max Heart,Elev/Dist ft/mi,Elev/Time ft/h,W/HR,Temp °C,Cal,Energy kJ,Segs,PRs,Others,Kudos,Comments,Com,Trn,Man,Pri,Dist away mi,Activity Score 25%,Segment PRs (K/QOM positions),All segments (personal positions),Ride/Run Type,400m,1 km,5 km,10 km,15 km,20 km,30 km,50 km,1/2 Mile,1 mile,2 mile,10 mile,Half Marathon,Marathon,Suffer Score,Points in red,% in red,H/R Zone 1,H/R Zone 2,H/R Zone 3,H/R Zone 4,H/R Zone 5,Power 0W,Power 0-50W,Power 50-100W,Power 100-150W,Power 150-200W,Power 200-250W,Power 250-300W,Power 300-350W,Power 350-400W,Power 400-450W,Power 450W+,Pace Zone 1,Pace Zone 2,Pace Zone 3,Pace Zone 4,Pace Zone 5,Flagged,Description,City,State,Activity Id
0,11/9/2016 16:32,Run,Brooks Ghost Red/Black,Recovery Run,9662.8,45.4,3009,2730,3.5395,5,454.63968,321.8688,25.8318,18.288,0,0,,0,87.7,135.1,160,4.7,59.9,0,,947.2,0,0,0,1,0,0,0,0,0,0,-1,0,,,,99,262,1510,,,,,,210,430,941,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,fast but HR was low?,,,770952070
0,11/8/2016 16:48,Run,Brooks Ghost Red/Black,GA Run,11269.3,79.1,3403,3137,3.5924,5.1,448.0413696,315.5601715,25.456896,17.9295552,0,0,,0,84.7,140.2,154,7.02,90.8,0,,1107.7,0,0,0,1,0,0,0,0,0,0,-1,0,,,,101,259,1402,2955,,,,,207,425,891,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10*100m strides,,,770096239
0,11/7/2016 16:56,Run,Brooks Ghost Red/Black,Recovery Run,6444.3,0,2106,2106,3.06,4,525.9336192,402.336,29.882592,22.86,0,0,,0,88.2,117.3,139,0,0,0,,628.5,0,0,0,1,0,0,0,1,0,0,-1,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,769129792
75.16025641,11/6/2016 10:01,Run,Hoka One One Clifton Reds,Long Run,27369.9,170.3,8363,7147,3.8296,5.4,420.1997184,298.0344154,23.874984,16.9337736,0,0,,0,75.3,149.4,198,6.22,85.8,0,,2685.5,0,4,0,1,0,0,0,0,0,0,-1,92.30769231,,,Long Run,88,241,1374,2903,4449,6073,,,192,390,861,4864,6384,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,767953656
47.22222222,11/5/2016 10:19,Run,"ASICS dunno Black, Yellow, Red",10k Tune Up Run,14492.6,47.3,4116,3727,3.8885,5.4,413.9232768,298.0344154,23.518368,16.9337736,0,0,,0,93.8,150.3,189,3.26,45.7,0,,1422.1,0,3,1,1,0,0,0,0,0,0,-1,66.66666667,,,Workout,87,221,1208,2655,,,,,176,360,760,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"0.5mi WU, 2.25 mi CD",,,767952709
0,11/4/2016 18:03,Run,Hoka One One Clifton Reds,Recovery Run,10471.6,85.7,3239,3068,3.4132,4.3,471.537792,374.2690406,26.79192,21.2652864,0,0,,0,86.8,137.9,173,8.18,100.6,0,,1027.6,0,0,0,1,0,0,0,0,0,0,-1,0,,,,107,278,1481,3092,,,,,221,449,914,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8*100m strides,,,765973548
0,11/3/2016 16:55,Run,Hoka One One Clifton Reds,Recovery Run,10488.5,58.3,3596,3053,3.4355,4.2,468.4800384,383.1848064,26.618184,21.771864,0,0,,0,83.5,136.2,149,5.56,68.7,0,,1030.8,0,0,0,1,0,0,0,0,0,0,-1,0,,,,107,287,1665,3413,,,,,226,470,979,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,765065923
51.35225885,11/2/2016 5:11,Run,Brooks Ghost Red/Black,ML Run,22541.3,131.8,6917,6409,3.5171,4.3,457.5364992,374.2690406,25.996392,21.2652864,0,0,,0,83.9,143.3,192,5.85,74,0,,2212.6,0,5,0,1,0,0,0,0,0,0,-1,75,,,,102,264,1375,2920,4432,6083,,,211,430,866,4809,6406,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,763499108
54.44444444,11/1/2016 16:27,Run,Hoka One One Clifton Reds,VO2 Run,16102,72.9,4791,4425,3.6389,5.5,442.2477312,292.6109261,25.127712,16.6256208,0,0,,0,88.5,144.1,170,4.53,59.3,0,,1579.1,0,10,0,1,0,0,0,0,0,0,-1,94.44444444,,,Workout,80,229,1280,2888,4464,,,,165,383,768,4786,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5*800 @ 5k pace,,,763081453
0,10/31/2016 16:41,Run,Brooks Ghost Red/Black,Recovery Run,6442,0,1903,1903,3.3852,3.8,475.4002176,423.514967,27.011376,24.0633504,0,0,,0,89.5,112,129,0,0,0,,628.3,0,0,0,1,0,0,0,1,0,0,-1,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,761959587
52.35042735,10/30/2016 9:13,Run,Hoka One One Clifton Reds,Long Run,35408.8,205.4,11757,9772,3.6235,4.8,444.178944,335.2746355,25.23744,19.0496952,0,0,,0,84.8,139.9,155,5.8,75.7,0,,3471.1,0,4,0,1,0,0,0,0,0,0,-1,80.55555556,,,Long Run,98,257,1433,3063,4624,6409,9978,,204,425,900,5003,6743,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"on ""tired"" legs",,,760801450
0,10/29/2016 10:09,Run,Brooks Ghost Red/Black,GA Run,11269.6,48,3244,3144,3.5845,4.9,449.006976,328.4349235,25.51176,18.6610752,0,0,,0,92.7,144.3,161,4.26,55,0,,1103.4,0,0,0,1,0,0,0,0,0,0,-1,0,,,,101,259,1352,2854,,,,,206,423,870,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,with 8*100m strides,,,759408079
93.05555556,10/28/2016 16:59,Run,Hoka One One Clifton Reds,Tempo Run,16101.5,100.8,4748,4231,3.8056,5.2,422.9356032,309.4929446,24.030432,17.5848264,0,0,,0,77.4,142.9,168,6.26,85.8,0,,1580.7,0,2,1,1,0,0,0,0,0,0,-1,98.61111111,,,Workout,87,227,1327,2790,4420,,,,180,372,797,4744,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"5 mi @ 6:20-6:30, 2 mi WU, 3 mi CD",,,758706850
0,10/27/2016 17:08,Run,Brooks Ghost Red/Black,Recovery Run,8051.2,0,2524,2524,3.1899,3.9,504.529344,412.651895,28.66644,23.4461304,0,0,,0,86.4,115.9,142,0,0,0,,785.2,0,0,0,1,0,0,0,1,0,0,-1,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,757866521
53.95299145,10/26/2016 5:15,Run,Hoka One One Clifton Reds,ML Run,24156.5,131.6,7112,6688,3.6119,4.7,445.6273536,342.4201229,25.319736,19.4556888,0,0,,0,84.2,140.2,154,5.45,70.8,0,,2370.8,0,5,0,1,0,0,0,0,0,0,-1,77.77777778,,,,98,259,1388,2895,4331,5890,,,205,424,874,4648,6194,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,756348322
52.55991285,10/25/2016 5:36,Run,Hoka One One Clifton Reds,VO2 Run,19317.3,86.1,5571,5184,3.7263,5.4,431.9479296,298.0344154,24.542496,16.9337736,0,0,,0,84.9,136.8,163,4.46,59.8,0,,1891.6,0,17,0,1,0,0,0,0,0,0,-1,85.87962963,,,Workout,83,212,1250,2692,4233,,,,169,379,783,4607,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"6*1200 @ 5k pace, 2.5 mi WU, 3 mi CD (1st interval has accidental pause)",,,755341427
0,10/24/2016 6:12,Run,Brooks Ghost Red/Black,GA Run,9666.4,48.8,2867,2700,3.5801,4.7,449.4897792,342.4201229,25.539192,19.4556888,0,0,,0,86.8,139.4,150,5.05,65.1,0,,948,0,0,0,1,0,0,0,0,0,0,-1,0,,,,101,260,1415,,,,,,207,427,901,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,754432028
0,10/23/2016 13:08,Run,"ASICS dunno Black, Yellow, Red",Recovery Run,1611.3,0,473,473,3.4066,3.8,472.5033984,423.514967,26.846784,24.0633504,0,0,,0,89.5,119.8,128,0,0,0,,157.2,0,0,0,1,0,0,0,1,0,0,-1,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,light shakeout after bike ride,,,753826078
57.7045177,10/22/2016 8:55,Run,Hoka One One Clifton Reds,MP Long Run,32191.3,190.5,10243,8442,3.8132,5,421.9699968,321.8688,23.975568,18.288,0,0,,0,68.3,143.8,157,5.92,81.2,0,,3157.6,0,5,0,1,0,0,0,0,0,0,-1,96.15384615,,,Long Run,91,247,1353,2953,4507,6222,9434,,193,405,844,4861,6576,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"14 @ MP, 2 gels, injured Achilles last 2-3 miles",,,752514232
50,10/21/2016 16:59,Run,Hoka One One Clifton Reds,Recovery Run,11273,111.7,3475,3359,3.3561,4.2,479.584512,383.1848064,27.24912,21.771864,0,0,,0,90.5,135.4,146,9.91,119.7,0,,1109.4,0,1,1,1,0,0,0,0,0,0,-1,50,,,,103,275,1506,3080,,,,,217,463,956,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,751779730
0,10/20/2016 16:53,Run,Brooks Ghost Red/Black,Recovery Run,9663.6,47.5,3256,2811,3.4378,4.3,468.1581696,374.2690406,26.599896,21.2652864,0,0,,0,90,135.2,151,4.92,60.8,0,,948.9,0,0,0,1,0,0,0,0,0,0,-1,0,,,,103,275,1648,,,,,,213,459,994,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,750939125
44.19753086,10/19/2016 5:40,Run,Hoka One One Clifton Reds,VO2 Run,17718.6,73.1,5324,4857,3.6481,6,441.1211904,268.2293645,25.063704,15.2403048,0,0,,0,87.1,145.5,167,4.13,54.2,0,,1734.4,0,15,0,1,0,0,0,0,0,0,-1,81.48148148,,,Workout,82,211,1302,2833,4500,,,,169,405,849,4822,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,749423177
44.44444444,10/18/2016 5:31,Run,Hoka One One Clifton Reds,GA Run,16099.4,100.2,4845,4551,3.5376,5.4,454.9615488,298.0344154,25.850088,16.9337736,0,0,,0,92.4,141.4,152,6.22,79.3,0,,1580,0,2,0,1,0,0,0,0,0,0,-1,84.72222222,,,,98,261,1415,3009,4510,,,,207,430,897,4842,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,748396540
0,10/17/2016 17:49,Run,"ASICS dunno Black, Yellow, Red",Recovery Run,1614.7,0,463,463,3.4875,3.9,461.3989248,412.651895,26.215848,23.4461304,0,0,,0,86.3,116.9,127,0,0,0,,157.5,0,0,0,1,0,0,0,1,0,0,-1,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,748008001
51.85185185,10/16/2016 7:57,Run,Brooks Ghost Red/Black,Long Run,33800.2,70.5,10133,8994,3.7581,8.7,428.2464384,184.9779994,24.332184,10.5101136,0,0,,0,89.4,142.1,158,2.09,28.2,0,,3307.2,0,9,8,1,0,0,0,0,0,0,-1,66.66666667,,,Long Run,89,247,1385,2856,4318,5889,8941,,191,414,850,4702,6218,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,747254894
46.66666667,10/15/2016 8:01,Run,Brooks Ghost Red/Black,GA Run,14492.5,41.7,5073,4166,3.4788,10.1,462.6864,159.3411494,26.289,9.0534744,0,0,,0,90.6,137.2,150,2.88,36,0,,1424.3,0,5,3,1,0,0,0,0,0,0,-1,66.66666667,,,,98,274,1532,3623,,,,,216,456,963,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,745317488
68.14407814,10/14/2016 6:37,Run,Brooks Ghost Red/Black,LT Run,19319.8,121.3,5828,5069,3.8114,5.4,422.2918656,298.0344154,23.993856,16.9337736,0,0,,0,75,149.3,163,6.28,86.1,0,,1898.9,0,5,0,1,0,0,0,0,0,0,-1,95.83333333,,,Workout,85,225,1384,2893,4404,,,,178,390,796,4695,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"2 mi WU + CD, 2*3.5 mi @15k-HM pace, 800m rest",,,744238980
0,10/13/2016 16:42,Run,Hoka One One Clifton Reds,Recovery Run,8059.3,34.7,2423,2394,3.3665,5.1,477.975168,315.5601715,27.15768,17.9295552,0,0,,0,89,130.7,147,4.31,52.2,0,,790.7,0,0,0,1,0,0,0,0,0,0,-1,0,,,,101,276,1475,,,,,,220,451,942,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,743815589
68.27838828,10/12/2016 5:07,Run,Hoka One One Clifton Reds,Middle Long Run,24145.8,131.1,7031,6510,3.709,5.1,433.8791424,315.5601715,24.652224,17.9295552,0,0,,0,83,143.9,156,5.43,72.5,0,,2369.9,0,5,0,1,0,0,0,0,0,0,-1,95.23809524,,,,90,241,1361,2787,4269,5791,,,195,401,852,4639,6092,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,742277705
70.45940171,10/11/2016 5:15,Run,Brooks Ghost Red/Black,GA Run,17708.7,112.6,5173,4915,3.603,5.4,446.59296,298.0344154,25.3746,16.9337736,0,0,,0,91.9,141.6,153,6.36,82.5,0,,1738.2,0,4,0,1,0,0,0,0,0,0,-1,79.16666667,,,,99,262,1411,2899,4387,,,,209,430,864,4703,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,741252629
0,10/10/2016 16:59,Run,Brooks Ghost Red/Black,Recovery Run,8055.5,34.4,2424,2329,3.4588,4.7,465.2613504,342.4201229,26.435304,19.4556888,0,0,,0,90.2,134.7,148,4.27,53.2,0,,789.7,0,0,0,1,0,0,0,0,0,0,-1,0,,,,103,273,1485,,,,,,213,453,951,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,740843285
0,10/9/2016 11:28,Run,Hoka One One Clifton Reds,GA Run,12885.2,89.8,3644,3489,3.6931,4.6,435.8103552,349.8552922,24.761952,19.8781416,0,0,,0,92.7,142.4,155,6.97,92.7,0,,1265.6,0,0,0,1,0,0,0,0,0,0,-1,0,,,,93,247,1377,2813,,,,,194,412,849,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,739595884
50.83333333,10/8/2016 10:33,Run,Hoka One One Clifton Reds,Tune-Up Run,15016.4,85.3,4353,3653,4.1107,5.5,391.5533952,292.6109261,22.247352,16.6256208,0,0,,0,69.5,157.1,169,5.68,84.1,0,,1478.5,0,10,7,1,0,0,0,0,0,0,-1,66.66666667,,,Workout,87,229,1293,2780,4349,,,,181,369,802,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"15k, too fast, too hard of a pace, realign goals",,,738343078
0,10/7/2016 16:53,Run,Brooks Ghost Red/Black,Recovery Run,9661.1,48.3,3153,2976,3.2463,4.1,495.677952,392.5190016,28.16352,22.302216,0,0,,0,86.8,136.9,150,5,58.4,0,,946.8,0,0,0,1,0,0,0,0,0,0,-1,0,,,,111,281,1630,,,,,,224,464,1016,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,737515869
0,10/6/2016 5:42,Run,Brooks Ghost Red/Black,Recovery Run,8057.2,0,2535,2535,3.1784,3.4,506.2996224,473.3402573,28.767024,26.8943328,0,0,,0,84.7,122.7,137,0,0,0,,785.8,0,0,0,1,0,0,0,1,0,0,-1,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,736035543
47.86935287,10/5/2016 5:02,Run,Brooks Ghost Red/Black,Middle Long Run,24149.1,131.5,7455,6947,3.4762,4.2,463.0082688,383.1848064,26.307288,21.771864,0,0,,0,87.1,135.7,153,5.45,68.1,0,,2371,0,5,0,1,0,0,0,0,0,0,-1,63.88888889,,,,103,270,1429,3012,4619,6200,,,214,441,909,4957,6521,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,735012881
58.84773663,10/4/2016 5:39,Run,Hoka One One Clifton Reds,VO2 Run,16095.5,75.6,4870,4496,3.58,6.4,449.4897792,251.46,25.539192,14.2875,0,0,,0,85.5,145.9,182,4.7,60.5,0,,1576.5,0,9,1,1,0,0,0,0,0,0,-1,98.61111111,,,Workout,80,233,1379,2872,4526,,,,172,395,860,4868,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5*800 @ 5:50-6:00,,,733914687
0,10/3/2016 5:58,Run,"ASICS dunno Black, Yellow, Red",Recovery Run,3222.4,0,969,969,3.3255,3.5,483.9297408,459.8056742,27.496008,26.1253224,0,0,,0,83.8,114.6,122,0,0,0,,314.3,0,0,0,1,0,0,0,1,0,0,-1,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,732890621
60.67155067,10/2/2016 8:38,Run,Brooks Ghost Red/Black,Long Run,38628.2,212,12337,10535,3.6667,5.6,438.8681088,287.3805581,24.935688,16.3284408,0,0,,0,87.5,143.2,158,5.49,72.4,0,,3787.5,0,5,0,1,0,0,0,0,0,0,-1,88.46153846,,,Long Run,97,244,1414,2913,4460,6124,9504,,196,400,892,4763,6456,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,732206487
30.55555556,10/1/2016 12:51,Run,Hoka One One Clifton Reds,GA Run,16099.5,90.7,5145,4698,3.4269,5.4,469.6065792,298.0344154,26.682192,16.9337736,0,0,,0,88.5,129.3,146,5.63,69.5,0,,1579.5,0,2,0,1,0,0,0,0,0,0,-1,58.33333333,,,,97,275,1454,3311,4805,,,,219,447,903,5142,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,731113706
82.72283272,9/30/2016 5:04,Run,Brooks Ghost Red/Black,Middle Long Run,24153.5,131.7,7452,6664,3.6245,5,444.0180096,321.8688,25.228296,18.288,0,0,,0,85,142.6,157,5.45,71.1,0,,2371,0,5,0,1,0,0,0,0,0,0,-1,95.83333333,,,,98,246,1383,2882,4712,6182,,,198,404,849,5019,6491,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,729670954
0,9/29/2016 5:42,Run,Brooks Ghost Red/Black,Recovery Run,8047.2,0,2610,2610,3.0832,3.7,521.9102592,434.9574029,29.653992,24.7134888,0,0,,0,83.1,118.9,138,0,0,0,,784.9,0,0,0,1,0,0,0,1,0,0,-1,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,728649118
