"","ID","Name","Gear","Date","Month","monthNum","DOW","StartTime","Distance","Time","Avg.Speed.Avg.Pace.","Speed.mph","Cad","Elevation.Gain","Avg.HR","Max.HR","Calories","RunType"
"3",665228569,"ML Run","Brooks Ghost Red/Black",2016-08-05,"Aug","Aug","Fri","5:30",12,"1:30:35","7:33",3.5547,87.1,"459","148","158","1,260","Run"
"93",668200606,"GA Run","Hoka One One Clifton Reds",2016-08-06,"Aug","Aug","Sat","7:18",8,"1:02:54","7:52",3.4131,87,"--","149","158","898","Run"
"114",668200836,"Recovery Run","Hoka One One Clifton Reds",2016-08-07,"Aug","Aug","Sun","14:50",4.01,"30:04:00","7:30",3.5725,88,"4","149","160","460","Recovery Run"
"113",668874860,"ML Run","Brooks Ghost Red/Black",2016-08-08,"Aug","Aug","Mon","7:31",15,"1:57:31","7:50",3.425,83.9,"13","142","158","1,545","Run"
"115",671269889,"Recovery Run","Hoka One One Clifton Reds",2016-08-10,"Aug","Aug","Wed","9:41",3,"23:31","7:50",3.4245,85.6,"--","134","151","299","Recovery Run"
"118",672332298,"GA Run","Hoka One One Clifton Reds",2016-08-11,"Aug","Aug","Thu","9:05",10,"1:18:54","7:53",3.4015,86.7,"7","148","166","1,085","Run"
"116",677460614,"Recovery Run","Brooks Ghost Red/Black",2016-08-12,"Aug","Aug","Fri","18:12",1.42,"11:33","8:07",3.3056,85.8,"--","--","--","191","Recovery Run"
"117",673389413,"GA Run","Brooks Ghost Red/Black",2016-08-12,"Aug","Aug","Fri","8:47",10.01,"1:19:25","7:56",3.3811,87,"3","149","170","1,047","Run"
"96",677460812,"Recovery Run","Brooks Ghost Red/Black",2016-08-15,"Aug","Aug","Mon","18:10",4,"31:14:00","7:48",3.3574,86.1,"--","128","149","380","Recovery Run"
"25",677906223,"Tempo Run","Hoka One One Clifton Reds",2016-08-16,"Aug","Aug","Tue","6:00",10.01,"1:11:55","7:11",3.7309,78.1,"366","143","166","1,024","Workout"
"28",679129912,"ML Run","Hoka One One Clifton Reds",2016-08-17,"Aug","Aug","Wed","5:19",14.01,"1:47:20","7:40",3.5009,86.6,"551","145","157","1,419","Run"
"23",680277532,"Recovery Run","Brooks Ghost Red/Black",2016-08-18,"Aug","Aug","Thu","5:34",5.01,"40:03:00","8:00",3.3544,87.9,"200","135","148","525","Recovery Run"
"17",681450846,"ML Run","Hoka One One Clifton Reds",2016-08-19,"Aug","Aug","Fri","5:24",14.01,"1:45:43","7:33",3.5542,89.5,"583","142","157","1,368","Run"
"20",682637851,"Recovery Run","Brooks Ghost Red/Black",2016-08-20,"Aug","Aug","Sat","9:21",6,"46:45:00","7:47",3.446,87.2,"266","138","153","661","Recovery Run"
"21",683964885,"MP Long Run","Hoka One One Clifton Reds",2016-08-21,"Aug","Aug","Sun","8:34",20,"2:29:54","7:30",3.5797,83.8,"724","148","163","2,104","Long Run"
"97",684711577,"Recovery Run","Brooks Ghost Red/Black",2016-08-22,"Aug","Aug","Mon","5:38",3,"24:32:00","8:10",2.9932,84.4,"0","100","136","191","Recovery Run"
"26",685886315,"GA Run","Brooks Ghost Red/Black",2016-08-23,"Aug","Aug","Tue","5:25",10.01,"1:14:18","7:26",3.6127,86.6,"377","139","157","1,086","Run"
"29",687187897,"ML Run","Brooks Ghost Red/Black",2016-08-24,"Aug","Aug","Wed","5:41",13,"1:39:32","7:39",3.5041,86.7,"498","141","156","1,450","Run"
"24",688330941,"Recovery Run","Brooks Ghost Red/Black",2016-08-25,"Aug","Aug","Thu","5:34",5.01,"41:31:00","8:17",3.2373,86.6,"168","130","141","506","Recovery Run"
