Activities by nimz713
 
 Activity Name,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
 Chalfont Running,"Wed, Aug 31, 2016 5:22 AM",1:56:36,15.00,497,7:46,5:12,145,157,"1,587",--,--,--,--,--,--,
 Chalfont Running,"Tue, Aug 30, 2016 5:39 AM",1:18:07,11.00,452,7:06,5:09,149,166,"1,090",--,--,--,--,--,--,
 Chalfont Running,"Mon, Aug 29, 2016 5:30 AM",33:33,4.00,151,8:23,7:17,126,136,416,--,--,--,--,--,--,
 Chalfont Running,"Sun, Aug 28, 2016 10:11 AM",1:44:47,13.00,517,8:04,5:28,141,154,"1,322",--,--,--,--,--,--,
 Running,"Sat, Aug 27, 2016 12:06 PM",59:00,0.12,--,--:--,13:34,109,123,389,--,--,--,--,--,--,
 Chalfont Running,"Fri, Aug 26, 2016 5:47 AM",1:32:36,12.00,467,7:43,5:45,122,158,"1,389",--,--,--,--,--,--,
 Chalfont Running,"Thu, Aug 25, 2016 5:34 AM",41:31,5.01,168,8:17,7:08,130,141,506,--,--,--,--,--,--,
 Chalfont Running,"Wed, Aug 24, 2016 5:41 AM",1:39:32,13.00,498,7:39,5:40,141,156,"1,450",--,--,--,--,--,--,
 Chalfont Running,"Tue, Aug 23, 2016 5:25 AM",1:14:18,10.01,377,7:26,6:07,139,157,"1,086",--,--,--,--,--,--,
 Running,"Mon, Aug 22, 2016 5:38 AM",24:32,3.00,0,8:10,7:19,100,136,191,--,--,--,--,--,--,
 Chalfont Running,"Sun, Aug 21, 2016 8:34 AM",2:29:54,20.00,724,7:30,5:30,148,163,"2,104",--,--,--,--,--,--,
 Chalfont Running,"Sat, Aug 20, 2016 9:21 AM",46:45,6.00,266,7:47,6:13,138,153,661,--,--,--,--,--,--,
 Chalfont Running,"Fri, Aug 19, 2016 5:24 AM",1:45:43,14.01,583,7:33,5:59,142,157,"1,368",--,--,--,--,--,--,
 Chalfont Running,"Thu, Aug 18, 2016 5:34 AM",40:03,5.01,200,8:00,5:21,135,148,525,--,--,--,--,--,--,
 Chalfont Running,"Wed, Aug 17, 2016 5:19 AM",1:47:20,14.01,551,7:40,5:36,145,157,"1,419",--,--,--,--,--,--,
 Chalfont Running,"Tue, Aug 16, 2016 6:00 AM",1:11:55,10.01,366,7:11,2:56,143,166,"1,024",--,--,--,--,--,--,
 Running,"Mon, Aug 15, 2016 6:10 PM",31:14,4.00,--,7:48,6:28,128,149,380,--,--,--,--,--,--,
 Sea Isle City Running,"Fri, Aug 12, 2016 6:12 PM",11:33,1.42,--,8:07,6:59,--,--,191,--,--,--,--,--,--,
 Sea Isle City Running,"Fri, Aug 12, 2016 8:47 AM",1:19:25,10.01,3,7:56,5:14,149,170,"1,047",--,--,--,--,--,--,
 Sea Isle City Running,"Thu, Aug 11, 2016 9:05 AM",1:18:54,10.00,7,7:53,5:58,148,166,"1,085",--,--,--,--,--,--,
 
