"","Name","Date","Month","Week","Day","Weekday","RunCat","RunType","WorkoutType","StartTime","Time","Distance","Avg.HR","Max.HR","Avg.Cadence","Max.Cadence","Avg.Pace","Best.Pace","Elev.Gain","Elev.Loss","Avg.Stride.Length"
"121","cool down",2017-10-20,NA,14,20,"Friday","Misc","Misc","NA",2017-12-27 07:10:00,2017-12-27 00:13:07,1.5,NA,NA,NA,NA,2017-12-27 00:08:45,NA,NA,NA,0
"122","attempt at 10k tune up",2017-10-20,NA,14,20,"Friday","Workout","Workout","Marathon Pace",2017-12-27 06:03:00,2017-12-27 01:02:02,9.05,NA,NA,183,192,2017-12-27 00:06:51,NA,NA,NA,1.29
"123","warm up",2017-10-20,NA,14,20,"Friday","Misc","Misc","NA",2017-12-27 05:48:00,NA,1,NA,NA,177,182,2017-12-27 00:07:59,2017-12-27 00:06:40,NA,NA,1.14
"124","easier long",2017-10-21,NA,14,21,"Saturday","Long","Long","NA",2017-12-27 10:45:00,2017-12-27 02:22:13,18.01,140,152,179,198,2017-12-27 00:07:54,2017-12-27 00:05:10,884,897,1.14
"125","Afternoon Recovery",2017-10-22,NA,15,22,"Sunday","Recovery","Recovery","NA",2017-12-27 17:58:00,2017-12-27 00:52:46,6.01,125,170,173,188,2017-12-27 00:08:47,2017-12-27 00:05:36,104,107,1.06
"126","Afternoon Recovery",2017-10-22,NA,15,22,"Sunday","Recovery","Recovery","NA",2017-12-27 13:30:00,2017-12-27 00:41:21,5.01,136,177,174,187,2017-12-27 00:08:16,2017-12-27 00:04:31,98,99,1.12
"127","Afternoon ga",2017-10-23,NA,15,23,"Monday","GA","Run","NA",2017-12-27 17:15:00,2017-12-27 01:21:45,10.01,128,142,177,188,2017-12-27 00:08:10,2017-12-27 00:04:11,144,144,1.11
"128","Afternoon vO2",2017-10-24,NA,15,24,"Tuesday","Workout","Workout","vO2 Max",2017-12-27 17:40:00,2017-12-27 01:10:46,9.23,141,168,183,211,2017-12-27 00:07:40,2017-12-27 00:05:26,NA,NA,1.14
"129","Lunch recovery",2017-10-24,NA,15,24,"Tuesday","Recovery","Recovery","NA",2017-12-27 11:50:00,2017-12-27 00:34:15,4,NA,NA,177,181,2017-12-27 00:08:34,NA,NA,NA,1.07
"130","Afternoon ga",2017-10-25,NA,15,25,"Wednesday","GA","Run","NA",2017-12-27 17:38:00,2017-12-27 01:05:45,8.01,125,139,176,187,2017-12-27 00:08:13,2017-12-27 00:03:28,89,102,1.12
"131","Lunch treadmill recovery",2017-10-25,NA,15,25,"Wednesday","Recovery","Recovery","NA",2017-12-27 11:59:00,2017-12-27 00:33:37,4,124,135,176,182,2017-12-27 00:08:24,2017-12-27 00:06:59,NA,NA,1.09
"132","easy ml",2017-10-26,NA,15,26,"Thursday","ML","Run","NA",2017-12-27 17:23:00,2017-12-27 01:44:16,13.01,NA,NA,178,206,2017-12-27 00:08:01,2017-12-27 00:05:03,383,381,1.13
"133","Lunch recovery",2017-10-26,NA,15,26,"Thursday","Recovery","Recovery","NA",2017-12-27 12:12:00,2017-12-27 00:33:29,4.01,116,161,174,233,2017-12-27 00:08:22,2017-12-27 00:03:15,57,51,1.1
"134","Morning Recovery",2017-10-27,NA,15,27,"Friday","Recovery","Recovery","NA",2017-12-27 06:54:00,2017-12-27 00:52:17,6,NA,NA,176,184,2017-12-27 00:08:42,2017-12-27 00:03:56,120,122,1.05
"135","Lunch Recovery",2017-10-28,NA,15,28,"Saturday","Recovery","Recovery","NA",2017-12-27 11:30:00,2017-12-27 00:51:20,6,NA,NA,174,206,2017-12-27 00:08:33,2017-12-27 00:04:01,93,93,1.08
"136","tune up Oktoberfest 13.1 half",2017-10-29,NA,16,29,"Sunday","Workout","Workout","Tune Up Race",2017-12-27 09:03:00,2017-12-27 01:33:03,13.14,NA,NA,181,211,2017-12-27 00:07:05,2017-12-27 00:04:27,498,494,1.26
"137","Lunch recovery",2017-10-30,NA,16,30,"Monday","Recovery","Recovery","NA",2017-12-27 12:05:00,2017-12-27 00:35:04,4,NA,NA,NA,NA,2017-12-27 00:08:46,NA,NA,NA,0
"138","Morning ml",2017-10-31,NA,16,31,"Tuesday","ML","Run","NA",2017-12-27 06:01:00,2017-12-27 01:40:03,13.01,NA,NA,178,193,2017-12-27 00:07:41,2017-12-27 00:05:30,396,387,1.18
"139","Afternoon VO2",2017-11-01,NA,16,1,"Wednesday","Workout","Workout","vO2 Max",2017-12-27 17:25:00,2017-12-27 01:14:45,10.01,NA,NA,178,209,2017-12-27 00:07:28,2017-12-27 00:04:11,107,118,1.2
"140","Afternoon Recovery",2017-11-02,NA,16,2,"Thursday","Recovery","Recovery","NA",2017-12-27 17:31:00,2017-12-27 00:52:13,6.01,NA,NA,173,192,2017-12-27 00:08:42,2017-12-27 00:06:13,115,108,1.07
"141","Lunch ga",2017-11-03,NA,16,3,"Friday","GA","Run","NA",2017-12-27 11:53:00,2017-12-27 01:01:19,8.01,NA,NA,177,219,2017-12-27 00:07:39,2017-12-27 00:04:13,79,101,1.19
"142","evening ga",2017-11-04,NA,16,4,"Saturday","GA","Run","NA",2017-12-27 17:37:00,2017-12-27 01:26:40,11.01,NA,NA,175,200,2017-12-27 00:07:53,2017-12-27 00:04:40,392,389,1.17
"143","last long run, fast finish",2017-11-05,NA,17,5,"Sunday","Long","Long","NA",2017-12-27 16:45:00,2017-12-27 02:09:56,17.01,NA,NA,177,204,2017-12-27 00:07:38,2017-12-27 00:05:18,439,439,1.19
"144","Lunch ga",2017-11-07,NA,17,7,"Tuesday","GA","Run","NA",2017-12-27 12:10:00,2017-12-27 01:01:54,8,NA,NA,175,218,2017-12-27 00:07:44,2017-12-27 00:03:13,102,108,1.19
"145","Lunch vo2",2017-11-09,NA,17,9,"Thursday","Workout","Workout","vO2 Max",2017-12-27 11:51:00,2017-12-27 01:05:54,9.01,NA,NA,178,217,2017-12-27 00:07:19,2017-12-27 00:03:53,92,95,1.23
"146","Lunch Recovery",2017-11-10,NA,17,10,"Friday","Recovery","Recovery","NA",2017-12-27 12:09:00,2017-12-27 00:49:48,6.01,NA,NA,172,188,2017-12-27 00:08:17,2017-12-27 00:03:46,115,97,1.13
"147","ga",2017-11-11,NA,17,11,"Saturday","GA","Run","NA",2017-12-27 15:49:00,2017-12-27 01:19:50,10.01,NA,NA,177,218,2017-12-27 00:07:59,2017-12-27 00:01:44,124,135,1.14
"148","last ml",2017-11-12,NA,18,12,"Sunday","ML","Run","NA",2017-12-27 11:22:00,2017-12-27 01:38:12,13,NA,NA,180,211,2017-12-27 00:07:33,2017-12-27 00:02:23,307,299,1.18
"149","Afternoon Run",2017-11-14,NA,18,14,"Tuesday","Recovery","Recovery","NA",2017-12-27 16:16:00,2017-12-27 00:53:23,6,NA,NA,171,186,2017-12-27 00:08:54,2017-12-27 00:04:02,121,113,1.06
"150","dress rehearsal GA",2017-11-15,NA,18,15,"Wednesday","GA","Run","NA",2017-12-27 16:11:00,2017-12-27 01:10:13,9.01,NA,NA,176,204,2017-12-27 00:07:48,2017-12-27 00:03:11,115,120,1.17
"151","Lunch Run",2017-11-16,NA,18,16,"Thursday","Recovery","Recovery","NA",2017-12-27 12:10:00,2017-12-27 00:49:31,6,NA,NA,172,186,2017-12-27 00:08:15,2017-12-27 00:02:20,118,118,1.14
"152","Morning treadmill rec",2017-11-17,NA,18,17,"Friday","Recovery","Recovery","NA",2017-12-27 07:33:00,2017-12-27 00:41:16,5.01,NA,NA,169,215,2017-12-27 00:08:14,2017-12-27 00:05:20,NA,NA,1.16
"153","MARATHON PR BUT WIND IS THE DEVIL, BOBBY BOUCHER",2017-11-19,NA,19,19,"Sunday","Race","Race","NA",2017-12-27 07:00:00,2017-12-27 03:07:22,26.41,NA,NA,184,211,2017-12-27 00:07:06,2017-12-27 00:03:37,597,589,1.23
