"","Name","Date","Month","Week","Day","Weekday","RunCat","RunType","WorkoutType","StartTime","Time","Distance","Avg.HR","Max.HR","Avg.Cadence","Max.Cadence","Avg.Pace","Best.Pace","Elev.Gain","Elev.Loss","Avg.Stride.Length"
"27","Evening recovery",2017-08-09,NA,4,9,"Wednesday","Recovery","Recovery","NA",2017-12-27 18:18:00,2017-12-27 00:35:09,4,114,126,176,192,2017-12-27 00:08:47,2017-12-27 00:00:36,45,52,1.04
"28","Morning Recovery",2017-08-09,NA,4,9,"Wednesday","Recovery","Recovery","NA",2017-12-27 06:37:00,2017-12-27 00:59:56,7,122,131,180,191,2017-12-27 00:08:34,2017-12-27 00:02:19,95,105,1.04
"29","middle long",2017-08-10,NA,4,10,"Thursday","ML","Run","NA",2017-12-27 17:54:00,2017-12-27 01:57:01,15,139,152,181,193,2017-12-27 00:07:48,2017-12-27 00:04:14,661,659,1.14
"30","Morning Recovery",2017-08-11,NA,4,11,"Friday","Recovery","Recovery","NA",2017-12-27 06:28:00,2017-12-27 00:44:22,5,150,187,179,197,2017-12-27 00:08:52,2017-12-27 00:01:20,97,98,1.02
"31","GA with some strides",2017-08-12,NA,4,12,"Saturday","GA","Run","NA",2017-12-27 18:14:00,2017-12-27 01:24:21,11.01,134,163,180,211,2017-12-27 00:07:40,2017-12-27 00:04:57,365,352,1.17
"32","long run",2017-08-13,NA,5,13,"Sunday","Long","Long","NA",2017-12-27 17:29:00,2017-12-27 02:38:33,20.01,133,147,182,211,2017-12-27 00:07:55,2017-12-27 00:02:48,920,933,1.12
"33","evening outdoor recovery",2017-08-14,NA,5,14,"Monday","Recovery","Recovery","NA",2017-12-27 17:38:00,2017-12-27 00:25:08,3.01,113,125,175,190,2017-12-27 00:08:22,2017-12-27 00:04:15,32,47,1.1
"34","indoor lunch Recovery",2017-08-14,NA,5,14,"Monday","Recovery","Recovery","NA",2017-12-27 13:17:00,2017-12-27 00:16:45,2,119,125,178,187,2017-12-27 00:08:22,2017-12-27 00:07:55,NA,NA,1.08
"35","indoor morning recovery",2017-08-14,NA,5,14,"Monday","Recovery","Recovery","NA",2017-12-27 07:56:00,2017-12-27 00:17:00,2,NA,NA,177,187,2017-12-27 00:08:29,2017-12-27 00:07:46,NA,NA,1.07
"36","Ml",2017-08-15,NA,5,15,"Tuesday","ML","Run","NA",2017-12-27 05:57:00,2017-12-27 01:32:44,12.02,135,148,181,193,2017-12-27 00:07:43,2017-12-27 00:02:24,159,170,1.15
"37","lt run",2017-08-16,NA,5,16,"Wednesday","Workout","Workout","Tempo",2017-12-27 17:14:00,2017-12-27 01:20:15,11.02,144,169,166,201,2017-12-27 00:07:17,2017-12-27 00:00:48,125,135,1.37
"38","evening recovery",2017-08-17,NA,5,17,"Thursday","Recovery","Recovery","NA",2017-12-27 17:46:00,2017-12-27 00:42:35,5,124,150,178,193,2017-12-27 00:08:31,2017-12-27 00:02:09,94,104,1.06
"39","Morning Recovery",2017-08-17,NA,5,17,"Thursday","Recovery","Recovery","NA",2017-12-27 06:06:00,2017-12-27 01:00:02,7,122,132,179,189,2017-12-27 00:08:34,2017-12-27 00:01:50,114,128,1.05
"40","ml",2017-08-18,NA,5,18,"Friday","ML","Run","NA",2017-12-27 05:41:00,2017-12-27 01:56:48,15,140,150,183,193,2017-12-27 00:07:47,2017-12-27 00:04:02,321,326,1.13
"41","Afternoon Recovery",2017-08-19,NA,5,19,"Saturday","Recovery","Recovery","NA",2017-12-27 14:27:00,2017-12-27 00:41:29,5.01,NA,NA,179,192,2017-12-27 00:08:17,2017-12-27 00:05:56,198,159,1.08
"42","attempt @ 10 MP long run",2017-08-20,NA,6,20,"Sunday","Workout","Long","Marathon Pace",2017-12-27 09:21:00,2017-12-27 02:30:16,20,142,165,184,211,2017-12-27 00:07:31,2017-12-27 00:03:56,921,921,1.16
"43","Morning ml",2017-08-22,NA,6,22,"Tuesday","ML","Run","NA",2017-12-27 05:53:00,2017-12-27 01:32:10,12,NA,NA,NA,NA,2017-12-27 00:07:41,NA,NA,NA,0
"44","Afternoon Recovery",2017-08-23,NA,6,23,"Wednesday","Recovery","Recovery","NA",2017-12-27 17:53:00,2017-12-27 00:34:56,4,NA,NA,NA,NA,2017-12-27 00:08:44,NA,NA,NA,0
"45","Morning Recovery",2017-08-23,NA,6,23,"Wednesday","Recovery","Recovery","NA",2017-12-27 06:00:00,2017-12-27 01:00:45,7,NA,NA,NA,NA,2017-12-27 00:08:41,NA,NA,NA,0
"46","Afternoon ml",2017-08-24,NA,6,24,"Thursday","ML","Run","NA",2017-12-27 17:07:00,2017-12-27 01:41:56,13,NA,NA,NA,NA,2017-12-27 00:07:50,NA,NA,NA,0
