Activities by nimz713
 
 Activity Name,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
 Chalfont Running,"Wed, Sep 21, 2016 5:31 AM",1:23:42,11.00,381,7:37,4:57,143,163,"1,156",--,--,--,--,--,--,
 Chalfont Running,"Tue, Sep 20, 2016 5:32 AM",1:25:22,11.01,439,7:45,5:21,142,154,"1,133",--,--,--,--,--,--,
 Running,"Mon, Sep 19, 2016 6:33 AM",33:49,4.01,--,8:26,7:32,119,128,359,--,--,--,--,--,--,
 Chalfont Running,"Sun, Sep 18, 2016 9:12 AM",2:28:14,20.01,763,7:25,5:04,145,162,"1,913",--,--,--,--,--,--,
 Chalfont Running,"Sat, Sep 17, 2016 8:49 AM",1:17:11,10.00,396,7:43,6:10,147,158,"1,021",--,--,--,--,--,--,
 Chalfont Running,"Fri, Sep 16, 2016 5:14 AM",1:46:04,14.00,502,7:34,6:11,148,160,"1,403",--,--,--,--,--,--,
 Chalfont Running,"Thu, Sep 15, 2016 5:15 AM",50:14,6.01,232,8:22,7:33,135,146,647,--,--,--,--,--,--,
 Chalfont Running,"Wed, Sep 14, 2016 5:28 AM",1:25:45,11.00,425,7:48,6:18,139,178,"1,082",--,--,--,--,--,--,
 Chalfont Running,"Tue, Sep 13, 2016 5:11 AM",1:53:44,15.01,522,7:35,5:46,143,156,"1,494",--,--,--,--,--,--,
 Running,"Mon, Sep 12, 2016 6:37 AM",25:16,3.00,--,8:25,7:44,118,124,294,--,--,--,--,--,--,
 Chalfont Running,"Sun, Sep 11, 2016 8:23 AM",2:46:01,22.00,820,7:33,3:16,144,160,"1,944",--,--,--,--,--,--,
 Chalfont Running,"Sat, Sep 10, 2016 8:12 AM",1:21:27,10.01,417,8:08,6:27,147,157,"1,085",--,--,--,--,--,--,
 Chalfont Running,"Fri, Sep 9, 2016 5:32 AM",1:28:05,12.01,488,7:20,5:23,150,168,"1,263",--,--,--,--,--,--,
 Chalfont Running,"Thu, Sep 8, 2016 5:22 AM",51:07,6.00,251,8:31,7:18,134,145,656,--,--,--,--,--,--,
 Chalfont Running,"Wed, Sep 7, 2016 5:28 AM",1:24:17,11.00,444,7:40,4:47,145,163,"1,149",--,--,--,--,--,--,
 Chalfont Running,"Tue, Sep 6, 2016 5:17 AM",1:53:30,15.01,524,7:34,5:38,143,157,"1,499",--,--,--,--,--,--,
 Chalfont Running,"Sun, Sep 4, 2016 8:26 AM",2:29:22,20.00,757,7:28,5:22,144,160,"1,899",--,--,--,--,--,--,
 Chalfont Running,"Sat, Sep 3, 2016 8:49 AM",1:17:14,10.00,373,7:43,5:54,144,159,"1,055",--,--,--,--,--,--,
 Chalfont Running,"Fri, Sep 2, 2016 5:07 PM",1:39:27,13.01,499,7:39,5:19,147,159,"1,344",--,--,--,--,--,--,
 Running,"Thu, Sep 1, 2016 5:50 AM",36:23,0.16,--,--:--,13:34,101,114,227,--,--,--,--,--,--,
 
