"","ID","Name","Gear","Date","Month","DOW","StartTime","Distance","Time","Avg.Pace","Speed.mph","Cad","Elevation.Gain","Avg.HR","Max.HR","Calories","RunType"
"106",748008001,"Recovery Run","ASICS dunno Black, Yellow, Red",2016-10-17,"Oct","Mon","17:49",1,2017-03-18 00:07:43,2017-03-18 00:07:41,3.4875,172.6,0,117,127,88,"Recovery Run"
"73",748396540,"GA Run","Hoka One One Clifton Reds",2016-10-18,"Oct","Tue","5:31",10,2017-03-18 01:15:52,2017-03-18 00:07:35,3.5376,184.8,410,141,152,1027,"Run"
"75",749423177,"VO2 Run","Hoka One One Clifton Reds",2016-10-19,"Oct","Wed","5:40",11.01,2017-03-18 01:20:58,2017-03-18 00:07:21,3.6481,174.2,299,145,167,1155,"Workout"
"72",750939125,"Recovery Run","Brooks Ghost Red/Black",2016-10-20,"Oct","Thu","16:53",6.01,2017-03-18 00:46:51,2017-03-18 00:07:48,3.4378,180,238,135,151,626,"Recovery Run"
"64",751779730,"Recovery Run","Hoka One One Clifton Reds",2016-10-21,"Oct","Fri","16:59",7,2017-03-18 00:56:00,2017-03-18 00:08:00,3.3561,181,357,135,146,739,"Recovery Run"
"67",752514232,"MP Long Run","Hoka One One Clifton Reds",2016-10-22,"Oct","Sat","8:55",20,2017-03-18 02:20:43,2017-03-18 00:07:02,3.8132,136.6,705,143,157,1770,"Long Run"
"108",753826078,"Recovery Run","ASICS dunno Black, Yellow, Red",2016-10-23,"Oct","Sun","13:08",1,2017-03-18 00:07:53,2017-03-18 00:07:52,3.4066,179,NA,119,128,95,"Recovery Run"
"66",754432028,"GA Run","Brooks Ghost Red/Black",2016-10-24,"Oct","Mon","6:12",6.01,2017-03-18 00:45:01,2017-03-18 00:07:30,3.5801,173.6,251,139,150,658,"Run"
"74",755341427,"VO2 Run","Hoka One One Clifton Reds",2016-10-25,"Oct","Tue","5:36",12,2017-03-18 01:26:25,2017-03-18 00:07:12,3.7263,169.8,337,137,163,1228,"Workout"
"76",756348322,"ML Run","Hoka One One Clifton Reds",2016-10-26,"Oct","Wed","5:15",15.01,2017-03-18 01:51:29,2017-03-18 00:07:26,3.6119,168.4,521,140,154,1499,"Run"
"109",757866521,"Recovery Run","Brooks Ghost Red/Black",2016-10-27,"Oct","Thu","17:08",5,2017-03-18 00:40:41,2017-03-18 00:08:08,3.1899,172.8,0,116,142,418,"Recovery Run"
"65",758706850,"Tempo Run","Hoka One One Clifton Reds",2016-10-28,"Oct","Fri","16:59",10.01,2017-03-18 01:10:32,2017-03-18 00:07:03,3.8056,154.8,374,143,168,925,"Workout"
"68",759408079,"GA Run","Brooks Ghost Red/Black",2016-10-29,"Oct","Sat","10:09",7,2017-03-18 00:52:25,2017-03-18 00:07:29,3.5845,185.4,259,144,161,794,"Run"
"70",760801450,"Long Run","Hoka One One Clifton Reds",2016-10-30,"Oct","Sun","9:13",22,2017-03-18 02:42:53,2017-03-18 00:07:24,3.6235,169.6,778,140,155,2044,"Long Run"
"107",761959587,"Recovery Run","Brooks Ghost Red/Black",2016-10-31,"Oct","Mon","16:41",4,2017-03-18 00:30:50,2017-03-18 00:07:42,3.3852,179,NA,113,129,304,"Recovery Run"
"87",763081453,"VO2 Run","Hoka One One Clifton Reds",2016-11-01,"Nov","Tue","16:27",10.01,2017-03-18 01:13:46,2017-03-18 00:07:22,3.6389,177,332,144,170,965,"Workout"
"91",763499108,"ML Run","Brooks Ghost Red/Black",2016-11-02,"Nov","Wed","5:11",14.01,2017-03-18 01:46:49,2017-03-18 00:07:38,3.5171,167.8,539,143,192,1312,"Run"
"86",765065923,"Recovery Run","Hoka One One Clifton Reds",2016-11-03,"Nov","Thu","16:55",6.52,2017-03-18 00:50:54,2017-03-18 00:07:49,3.4355,167,224,136,149,672,"Recovery Run"
"79",765973548,"Recovery Run","Hoka One One Clifton Reds",2016-11-04,"Nov","Fri","18:03",6.51,2017-03-18 00:51:08,2017-03-18 00:07:52,3.4132,173.6,289,138,173,679,"Recovery Run"
"82",767952709,"10k Tune Up Run","ASICS dunno Black, Yellow, Red",2016-11-05,"Nov","Sat","10:19",9.01,2017-03-18 01:02:08,2017-03-18 00:06:54,3.8885,187.6,143,150,189,927,"Workout"
"84",767953656,"Long Run","Hoka One One Clifton Reds",2016-11-06,"Nov","Sun","10:01",17.01,2017-03-18 01:59:07,2017-03-18 00:07:00,3.8296,150.6,618,149,199,1607,"Long Run"
"111",769129792,"Recovery Run","Brooks Ghost Red/Black",2016-11-07,"Nov","Mon","16:56",4.01,2017-03-18 00:30:41,2017-03-18 00:07:40,3.06,176.4,NA,122,139,319,"Recovery Run"
"89",770096239,"GA Run","Brooks Ghost Red/Black",2016-11-08,"Nov","Tue","16:48",7,2017-03-18 00:52:18,2017-03-18 00:07:28,3.5924,169.4,307,140,154,742,"Run"
