"","Name","Marathon","Date","Month","Week","Day","Weekday","RunCat","RunType","WorkoutType","StartTime","Time","Distance","Avg.HR","Max.HR","Avg.Cadence","Max.Cadence","Avg.Pace","Best.Pace","Elev.Gain","Elev.Loss","Avg.Stride.Length"
"27","Recovery Run","ph16",2016-08-20,"Aug",6,20,"Saturday","Recovery","Recovery","NA",2017-12-30 09:21:00,2017-12-30 00:46:45,6,138,153,174,191,2017-12-30 00:07:47,2017-12-30 00:06:13,266,198,1.19
"28","MP Long Run","ph16",2016-08-21,"Aug",6,21,"Sunday","Workout","Long","Marathon Pace",2017-12-30 08:34:00,2017-12-30 02:29:54,20,148,163,166,197,2017-12-30 00:07:30,2017-12-30 00:05:30,724,702,1.3
"29","Recovery Run","ph16",2016-08-22,"Aug",6,22,"Monday","Recovery","Recovery","NA",2017-12-30 05:38:00,2017-12-30 00:24:32,3,100,136,171,187,2017-12-30 00:08:10,2017-12-30 00:07:19,NA,NA,1.15
"30","GA Run","ph16",2016-08-23,"Aug",6,23,"Tuesday","GA","Run","NA",2017-12-30 05:25:00,2017-12-30 01:14:18,10.01,139,157,174,193,2017-12-30 00:07:26,2017-12-30 00:06:07,377,353,1.25
"31","Middle Long Run","ph16",2016-08-24,"Aug",6,24,"Wednesday","ML","Run","NA",2017-12-30 05:41:00,2017-12-30 01:39:32,13,141,156,174,197,2017-12-30 00:07:39,2017-12-30 00:05:40,498,474,1.21
"32","Recovery Run","ph16",2016-08-25,"Aug",6,25,"Thursday","Recovery","Recovery","NA",2017-12-30 05:34:00,2017-12-30 00:41:31,5.01,130,141,173,185,2017-12-30 00:08:17,2017-12-30 00:07:08,168,144,1.12
"33","Middle Long Run","ph16",2016-08-26,"Aug",7,26,"Friday","ML","Run","NA",2017-12-30 05:47:00,2017-12-30 01:32:36,12,122,158,172,194,2017-12-30 00:07:43,2017-12-30 00:05:45,467,444,1.22
"34","Long Run","ph16",2016-08-28,"Aug",7,28,"Sunday","ML","Run","NA",2017-12-30 10:11:00,2017-12-30 01:44:47,13,141,154,175,193,2017-12-30 00:08:04,2017-12-30 00:05:28,517,494,1.14
"35","Recovery Run","ph16",2016-08-29,"Aug",7,29,"Monday","Recovery","Recovery","NA",2017-12-30 05:30:00,2017-12-30 00:33:33,4,126,136,172,185,2017-12-30 00:08:23,2017-12-30 00:07:17,151,127,1.12
"36","Tempo Run","ph16",2016-08-30,"Aug",7,30,"Tuesday","Workout","Workout","Tempo",2017-12-30 05:39:00,2017-12-30 01:18:07,11,149,166,155,222,2017-12-30 00:07:06,2017-12-30 00:05:09,452,401,1.46
"37","Middle Long Run","ph16",2016-08-31,"Aug",7,31,"Wednesday","ML","Run","NA",2017-12-30 05:22:00,2017-12-30 01:56:36,15,145,157,174,211,2017-12-30 00:07:46,2017-12-30 00:05:12,497,473,1.19
"38","MIddle Long Run","ph16",2016-09-02,"Sep",8,2,"Friday","ML","Run","NA",2017-12-30 17:07:00,2017-12-30 01:39:27,13.01,147,159,176,197,2017-12-30 00:07:39,2017-12-30 00:05:19,499,479,1.2
